"","Sepal_Length","Sepal_Width","Petal_Length","Petal_Width","Species","Sepal_Ratio"
"1",5.1,3.5,1.4,0.2,"setosa",1.45714285714286
"2",4.9,3,1.4,0.2,"setosa",1.63333333333333
"3",4.7,3.2,1.3,0.2,"setosa",1.46875
"4",4.6,3.1,1.5,0.2,"setosa",1.48387096774194
"5",5,3.6,1.4,0.2,"setosa",1.38888888888889
"6",5.4,3.9,1.7,0.4,"setosa",1.38461538461538
"7",4.6,3.4,1.4,0.3,"setosa",1.35294117647059
"8",5,3.4,1.5,0.2,"setosa",1.47058823529412
"9",4.4,2.9,1.4,0.2,"setosa",1.51724137931034
"10",4.9,3.1,1.5,0.1,"setosa",1.58064516129032
"11",5.4,3.7,1.5,0.2,"setosa",1.45945945945946
"12",4.8,3.4,1.6,0.2,"setosa",1.41176470588235
"13",4.8,3,1.4,0.1,"setosa",1.6
"14",4.3,3,1.1,0.1,"setosa",1.43333333333333
"15",5.8,4,1.2,0.2,"setosa",1.45
"16",5.7,4.4,1.5,0.4,"setosa",1.29545454545455
"17",5.4,3.9,1.3,0.4,"setosa",1.38461538461538
"18",5.1,3.5,1.4,0.3,"setosa",1.45714285714286
"19",5.7,3.8,1.7,0.3,"setosa",1.5
"20",5.1,3.8,1.5,0.3,"setosa",1.34210526315789
"21",5.4,3.4,1.7,0.2,"setosa",1.58823529411765
"22",5.1,3.7,1.5,0.4,"setosa",1.37837837837838
"23",4.6,3.6,1,0.2,"setosa",1.27777777777778
"24",5.1,3.3,1.7,0.5,"setosa",1.54545454545455
"25",4.8,3.4,1.9,0.2,"setosa",1.41176470588235
"26",5,3,1.6,0.2,"setosa",1.66666666666667
"27",5,3.4,1.6,0.4,"setosa",1.47058823529412
"28",5.2,3.5,1.5,0.2,"setosa",1.48571428571429
"29",5.2,3.4,1.4,0.2,"setosa",1.52941176470588
"30",4.7,3.2,1.6,0.2,"setosa",1.46875
"31",4.8,3.1,1.6,0.2,"setosa",1.54838709677419
"32",5.4,3.4,1.5,0.4,"setosa",1.58823529411765
"33",5.2,4.1,1.5,0.1,"setosa",1.26829268292683
"34",5.5,4.2,1.4,0.2,"setosa",1.30952380952381
"35",4.9,3.1,1.5,0.2,"setosa",1.58064516129032
"36",5,3.2,1.2,0.2,"setosa",1.5625
"37",5.5,3.5,1.3,0.2,"setosa",1.57142857142857
"38",4.9,3.6,1.4,0.1,"setosa",1.36111111111111
"39",4.4,3,1.3,0.2,"setosa",1.46666666666667
"40",5.1,3.4,1.5,0.2,"setosa",1.5
"41",5,3.5,1.3,0.3,"setosa",1.42857142857143
"42",4.5,2.3,1.3,0.3,"setosa",1.95652173913044
"43",4.4,3.2,1.3,0.2,"setosa",1.375
"44",5,3.5,1.6,0.6,"setosa",1.42857142857143
"45",5.1,3.8,1.9,0.4,"setosa",1.34210526315789
"46",4.8,3,1.4,0.3,"setosa",1.6
"47",5.1,3.8,1.6,0.2,"setosa",1.34210526315789
"48",4.6,3.2,1.4,0.2,"setosa",1.4375
"49",5.3,3.7,1.5,0.2,"setosa",1.43243243243243
"50",5,3.3,1.4,0.2,"setosa",1.51515151515152
"51",7,3.2,4.7,1.4,"versicolor",2.1875
"52",6.4,3.2,4.5,1.5,"versicolor",2
"53",6.9,3.1,4.9,1.5,"versicolor",2.2258064516129
"54",5.5,2.3,4,1.3,"versicolor",2.39130434782609
"55",6.5,2.8,4.6,1.5,"versicolor",2.32142857142857
"56",5.7,2.8,4.5,1.3,"versicolor",2.03571428571429
"57",6.3,3.3,4.7,1.6,"versicolor",1.90909090909091
"58",4.9,2.4,3.3,1,"versicolor",2.04166666666667
"59",6.6,2.9,4.6,1.3,"versicolor",2.27586206896552
"60",5.2,2.7,3.9,1.4,"versicolor",1.92592592592593
"61",5,2,3.5,1,"versicolor",2.5
"62",5.9,3,4.2,1.5,"versicolor",1.96666666666667
"63",6,2.2,4,1,"versicolor",2.72727272727273
"64",6.1,2.9,4.7,1.4,"versicolor",2.10344827586207
"65",5.6,2.9,3.6,1.3,"versicolor",1.93103448275862
"66",6.7,3.1,4.4,1.4,"versicolor",2.16129032258065
"67",5.6,3,4.5,1.5,"versicolor",1.86666666666667
"68",5.8,2.7,4.1,1,"versicolor",2.14814814814815
"69",6.2,2.2,4.5,1.5,"versicolor",2.81818181818182
"70",5.6,2.5,3.9,1.1,"versicolor",2.24
"71",5.9,3.2,4.8,1.8,"versicolor",1.84375
"72",6.1,2.8,4,1.3,"versicolor",2.17857142857143
"73",6.3,2.5,4.9,1.5,"versicolor",2.52
"74",6.1,2.8,4.7,1.2,"versicolor",2.17857142857143
"75",6.4,2.9,4.3,1.3,"versicolor",2.20689655172414
"76",6.6,3,4.4,1.4,"versicolor",2.2
"77",6.8,2.8,4.8,1.4,"versicolor",2.42857142857143
"78",6.7,3,5,1.7,"versicolor",2.23333333333333
"79",6,2.9,4.5,1.5,"versicolor",2.06896551724138
"80",5.7,2.6,3.5,1,"versicolor",2.19230769230769
"81",5.5,2.4,3.8,1.1,"versicolor",2.29166666666667
"82",5.5,2.4,3.7,1,"versicolor",2.29166666666667
"83",5.8,2.7,3.9,1.2,"versicolor",2.14814814814815
